Something,BryannaxDenise,Something - Single
Way Too Big,Burna Boy,Twice as Tall
Stay So,Busy Signal,Reggae Gold 2018: 25th Anniversary
Dreams of Brighter Days,Busy Signal & RC,Dreams of Brighter Days - Single
Havana (feat. Young Thug),Camila Cabello,Camila
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single
APESHIT,THE CARTERS,EVERYTHING IS LOVE
F**k You,CeeLo Green,F**k You - Deluxe Single
Forget You,CeeLo Green,The Lady Killer
Closer (feat. Halsey),The Chainsmokers,Collage - EP
Ghetto Story Chapter 2 (Featuring Alicia Keys),Cham,Ghetto Story
Pyramid (feat. Iyaz),Charice,Charice (Deluxe Version)
Gyal You a Party Animal,Charly Black,Gyal You a Party Animal - Single
Dynamite,China Anne McClain,A.N.T. Farm
From Mawning (Never Change),Chino,From Mawning - EP
Next To You (feat. Justin Bieber),Chris Brown,F.A.M.E. (Expanded Edition)
Crawl,Chris Brown,Graffiti (Expanded Edition)
Brown Skin Girl (feat. Sean Paul),Chris Brown,Graffiti (Expanded Edition)
Loyal (West Coast Version) [feat. Lil Wayne & Too $hort],Chris Brown,Loyal (East & West Coast Versions) - Single
Indescribable,Chris Tomlin,How Great Is Our God: The Essential Collection
Woohoo (feat. Nicki Minaj),Christina Aguilera,Bionic (Deluxe Version)
Jar of Hearts,Christina Perri,Lovestrong. (Deluxe Version)
Level Up,Ciara,Level Up - Single
Never Ever (feat. Young Jeezy),Ciara,Never Ever (feat. Young Jeezy) - Single
Me and You,Coco Jones & Tyler James Williams,Let It Shine (Original Soundtrack)
Brighter Than the Sun,Colbie Caillat,All of You
Before I Let You Go,Colbie Caillat,All of You
Favorite Song (feat. Common),Colbie Caillat,All of You
You Got Me,Colbie Caillat,Breakthrough (Deluxe Version)
Fearless,Colbie Caillat,Breakthrough (Deluxe Version)
Bubbly,Colbie Caillat,Coco
Stand Up (from Harriet),Cynthia Erivo,Stand Up (from Harriet) - Single
Affairs of the Heart,"Damian ""Jr. Gong"" Marley",Affairs of the Heart - Single
Over You,Daughtry,Daughtry
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Nothing But the Beat
Without You (feat. Usher),David Guetta,Nothing But the Beat
Titanium (feat. Sia),David Guetta,Nothing But the Beat
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida & Nicki Minaj",Nothing But the Beat 2.0
Risky,Davido & Popcaan,Risky - Single
Love My Life,Demarco,"4 Aces of Dancehall, Vol. 1"
Fix a Heart,Demi Lovato,Unbroken
Mistake,Demi Lovato,Unbroken
Survivor,Destiny's Child,Survivor
Shabba Madda Pot,Dexta Daps,Shabba Madda Pot - Single
7 Eleven,Dexta Daps,The Ultimate 2016
Breaking News,Dexta Daps,Vent
Call Me If,Dexta Daps,Vent
7eleven (Radio Edit),Dexta Daps,7eleven - Single
Loving You No More (feat. Drake),Diddy - Dirty Money & Drake,Last Train to Paris (Deluxe Version)
Dweet (Genna Bounce) [feat. Bravo Ravers],Ding Dong,Genna Bounce Riddim
"Do You Want to Build a Snowman? (From ""Frozen"")",Disney's Circle of Stars,"Do You Want to Build a Snowman? (From ""Frozen"") - Single"
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross) - Single"
Shining (feat. Beyoncé & JAY Z),DJ Khaled,Grateful
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Grateful
Caribbean Medley (Live),Donnie McClurkin,Live In London and More...
Bawl Out,Dovey Magnum,Reggae Gold 2018: 25th Anniversary
Bawl Out,Dovey Magnum,Rum & Boom Riddim
Sex Slave (Love Theraphy Riddim),Dovey Magnum,Sex Slave (Love Theraphy Riddim) - Single
I Need a Doctor (feat. Eminem & Skylar Grey),Dr. Dre,I Need a Doctor (feat. Eminem & Skylar Grey) - Single
Blem,Drake,More Life
Headlines,Drake,Take Care (Deluxe Version)
Take Care (feat. Rihanna),Drake,Take Care (Deluxe Version)
Find Your Love,Drake,Thank Me Later
One Dance (feat. Wizkid & Kyla),Drake,Views
Forever,"Drake, Kanye West, Lil Wayne & Eminem",More Than a Game (Music Inspired By the Film)
We Pray (feat. Popcaan),Dre Island,We Pray (feat. Popcaan) - Single
Perfect Duet (with Beyoncé),Ed Sheeran,Perfect Duet (with Beyoncé) - Single
Thinking Out Loud,Ed Sheeran,x (Wembley Edition)
I Don't Care,Ed Sheeran & Justin Bieber,No.6 Collaborations Project
O Come to the Altar (Live),Elevation Worship,Here as in Heaven (Live)
Stand Up (feat. Audiomoe),Elijah Jamal,Stand Up (feat. Audiomoe) - Single
Hurts,Emeli Sandé,Long Live the Angels (Deluxe)
My Kind of Love,Emeli Sandé,Our Version of Events
Next to Me,Emeli Sandé,Our Version of Events
Daddy (feat. Naughty Boy),Emeli Sandé,Our Version of Events (Deluxe Edition)
"Read All About It, Pt. III",Emeli Sandé,Our Version of Events (Deluxe Edition)
Next To Me (Kendrick Lamar Remix),Emeli Sandé,Our Version of Events (Deluxe Edition)
Wonder,Emeli Sandé & Naughty Boy,Our Version of Events
The Monster (feat. Rihanna),Eminem,The Marshall Mathers LP2 (Deluxe)
Not Afraid,Eminem,Recovery (Deluxe Edition)
No Love (feat. Lil Wayne),Eminem,Recovery (Deluxe Edition)
We Made You (Single Version),Eminem,Relapse
Guts Over Fear (feat. Sia),Eminem,SHADYXV
You're So Beautiful (feat. Jussie Smollett & Yazz),Empire Cast,Empire (Original Soundtrack from Season 1) [Deluxe]
Conqueror (feat. Estelle & Jussie Smollett),Empire Cast,Empire (Original Soundtrack from Season 1) [Deluxe]
Overdue,Erphaan Alves,Overdue - Single
Ducking,Fadda Fox,Studio B Presents Crop Over Hits 2014 - EP
When I See U,Fantasia,Fantasia
Lose to Win,Fantasia,Side Effects of You
Give Your Best (Study Motivation),Fearless Motivation,Feed Your Mind With Success (Motivational Speeches)
Hard Work Beats Talent (Motivational Speech),Fearless Motivation,Hard Work Beats Talent (Motivational Speech) - Single
Glamorous (feat. Ludacris),Fergie,The Dutchess Deluxe
Trap Queen,Fetty Wap,Fetty Wap (Deluxe Edition)
679 (feat. Monty),Fetty Wap,Fetty Wap (Deluxe Edition)
My Way (feat. Monty),Fetty Wap,Fetty Wap (Deluxe Edition)
Don't Say You Love Me,Fifth Harmony,Fifth Harmony
That's My Girl,Fifth Harmony,7/27 (Deluxe)
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe)
All In My Head (Flex) [feat. Fetty Wap],Fifth Harmony,7/27 (Deluxe)
Funky Business,Fimba,Funky Business - Single
Club Can't Handle Me (feat. David Guetta),Flo Rida,"Only One Flo, Pt. 1"
Wild Ones (feat. Sia),Flo Rida,Wild Ones
Unforgettable (feat. Swae Lee),French Montana,Jungle Rules
 Ah Ketch It Remix (feat. Shurwayne Winchester),Fya Empress,
Bill,Gaza Slim & Lisa Hype,"Street Shots, Vol. 10 (Throwback Edition)"
I Will Survive (Single Version),Gloria Gaynor,Hits of the 70's
Meh Rum,Gorg,Meh Rum
"Meh Rum Remix (feat. Denise ""Saucy Wow"" Belfon)",Gorg,Meh Rum
Meh Rum,Gorg,Superlynks Presents 'from Then Till Now ' sampler 1
Somebody That I Used to Know (feat. Kimbra),Gotye,Making Mirrors (Deluxe Version)
Diamonds,Hawk Nelson,Diamonds
Every Praise,Hezekiah Walker,Azusa the Next Generation
Walking Trophy,HoodCelebrityy,Walking Trophy - Single
Fancy (feat. Charli XCX),Iggy Azalea,The New Classic (Deluxe Version)
Bubble,Iwer George,Soca Gold 2013
Replay,Iyaz,Replay - Single
No Reason to Fear,J.J. Hairston & Youthful Praise,You Deserve It (Deluxe Edition)
I Want You Back,Jackson 5,NOW That's What I Call Motown
Risk It All (feat. Phyllisia Ross),Jah Cure,Reggae Gold 2018: 25th Anniversary
Unconditional Love,Jah Cure,Unconditional Love (feat. Phyllisia) - Single
Nookie Tonight,Jamesy P,D'Soca Zone - 5th Spin
Want to Want Me,Jason Derulo,Everything Is 4
Whatcha Say,Jason Derulo,Jason Derulo
Ridin' Solo,Jason Derulo,Jason Derulo
